Jersey,Jersey,44,00
Sark,Sark,44,00
Afghanistan,Afghanistan,93,00
Albania,Albania,355,00
Algeria,Algeria,213,00
American Samoa,American Samoa,1,11
Andorra,Andorra,376,00
Angola,Angola,244,00
Anguilla,Anguilla,1,011
Antarctica,Antarctica,672,00
Antigua & Barbuda,Antigua and Barbuda,1,011
Argentina,Argentina,54,00
Armenia,Armenia,374,00
Aruba,Aruba,297,00
Australia,Australia,61,0011
Austria,Austria,43,00
Azerbaijan,Azerbaijan,994,810
Bahamas,Bahamas,1,011
Bahrain,Bahrain,973,00
Bangladesh,Bangladesh,880,00
Barbados,Barbados,1,011
Belarus,Belarus,375,810
Belgium,Belgium,32,00
Belize,Belize,501,00
Benin,Benin,229,00
Bermuda,Bermuda,1,011
Bhutan,Bhutan,975,00
Bolivia,Bolivia (Plurinational State of),591,0010
Bosnia,Bosnia and Herzegovina,387,00
Botswana,Botswana,267,00
Bouvet Island,Bouvet Island,47,00
Brazil,Brazil,55,0014
British Indian Ocean Territory,British Indian Ocean Territory,246,011
British Virgin Islands,British Virgin Islands,1,011
Brunei,Brunei Darussalam,673,00
Bulgaria,Bulgaria,359,00
Burkina Faso,Burkina Faso,226,00
Burundi,Burundi,257,00
Cambodia,Cambodia,855,00
Cameroon,Cameroon,237,00
Canada,Canada,1,011
Cape Verde,Cabo Verde,238,00
Caribbean Netherlands,Bonaire Sint Eustatius and Saba,599,00
Cayman Islands,Cayman Islands,1,011
Central African Republic,Central African Republic,236,00
Chad,Chad,235,15
Chile,Chile,56,00
China,China,86,00
Christmas Island,Christmas Island,61,0011
Cocos (Keeling) Islands,Cocos (Keeling) Islands,61,0011
Colombia,Colombia,57,005
Comoros,Comoros,269,00
Congo - Brazzaville,Congo,242,00
Congo - Kinshasa,Democratic Republic of the Congo,243,00
Cook Islands,Cook Islands,682,00
Costa Rica,Costa Rica,506,00
Croatia,Croatia,385,00
Cuba,Cuba,53,119
Curaçao,Curaçao,599,00
Cyprus,Cyprus,357,00
Czech Republic,Czech Republic,420,00
Côte d’Ivoire,Ivory Coast,225,00
Denmark,Denmark,45,00
Djibouti,Djibouti,253,00
Dominica,Dominica,1,011
Dominican Republic,Dominican Republic,1,011
Ecuador,Ecuador,593,00
Egypt,Egypt,20,00
El Salvador,El Salvador,503,00
Equatorial Guinea,Equatorial Guinea,240,00
Eritrea,Eritrea,291,00
Estonia,Estonia,372,00
Ethiopia,Ethiopia,251,00
Falkland Islands,Falkland Islands (Malvinas),500,00
Faroe Islands,Faeroe Islands,298,00
Fiji,Fiji,679,00
Finland,Finland,358,00
France,France,33,00
French Guiana,French Guiana,594,00
French Polynesia,French Polynesia,689,00
French Southern Territories,French Southern Territories,262,00
Gabon,Gabon,241,00
Gambia,Gambia,220,00
Georgia,Georgia,995,810
Germany,Germany,49,00
Ghana,Ghana,233,00
Gibraltar,Gibraltar,350,00
Greece,Greece,30,00
Greenland,Greenland,299,009
Grenada,Grenada,1,011
Guadeloupe,Guadeloupe,590,00
Guam,Guam,1,011
Guatemala,Guatemala,502,00
Guernsey,Guernsey,44,00
Guinea,Guinea,224,00
Guinea-Bissau,Guinea-Bissau,245,00
Guyana,Guyana,592,00
Haiti,Haiti,509,00
Heard & McDonald Islands,Heard & McDonald Islands,672,00
Honduras,Honduras,504,00
Hong Kong,Hong Kong,852,001
Hungary,Hungary,36,00
Iceland,Iceland,354,00
India,India,91,00
Indonesia,Indonesia,62,001
Iran,Iran,98,00
Iraq,Iraq,964,00
Ireland,Ireland,353,00
Isle of Man,Isle of Man,44,00
Israel,Israel,972,00
